"Maternal mortality ratio (deaths per 100,000 live births)"
"147","Kenya","687","","698","","759","","728","","605","","584"," a","562"," a","540"," a","525"," a","510",""
"132","Kiribati","234","","207","","166","","135","","109","","105"," a","101"," a","96"," a","93"," a","90",""
"..","Korea (Democratic People's Rep. of)","75","","81","","128","","105","","97","","95"," a","91"," a","87"," a","85"," a","82",""
"22","Korea (Republic of)","21","","19","","16","","14","","15","","14"," a","13"," a","12"," a","12"," a","11",""
"57","Kuwait","7","","9","","7","","6","","5","","4"," a","4"," a","4"," a","4"," a","4",""
"122","Kyrgyzstan","80","","92","","74","","85","","84","","87"," a","81"," a","79"," a","77"," a","76",""
"140","Lao People's Democratic Republic","905","","695","","546","","418","","294","","271"," a","250"," a","230"," a","213"," a","197",""
"39","Latvia","48","","54","","30","","22","","19","","21"," a","18"," a","18"," a","18"," a","18",""
"93","Lebanon","74","","54","","42","","27","","19","","18"," a","17"," a","16"," a","16"," a","15",""
"164","Lesotho","629","","525","","649","","746","","587","","555"," a","549"," a","532"," a","513"," a","487",""
"176","Liberia","1500","","1800","","1270","","1020","","811","","798"," a","787"," a","762"," a","741"," a","725",""
"110","Libya","39","","25","","17","","11","","9","","9"," a","9"," a","9"," a","9"," a","9",""
"34","Lithuania","29","","28","","16","","12","","9","","11"," a","10"," a","10"," a","10"," a","10",""
"21","Luxembourg","12","","13","","13","","13","","11","","11"," a","11"," a","10"," a","10"," a","10",""
"162","Madagascar","778","","644","","536","","508","","436","","420"," a","402"," a","384"," a","369"," a","353",""
"172","Malawi","957","","953","","890","","648","","629","","618"," a","624"," a","636"," a","638"," a","634",""
"61","Malaysia","79","","68","","58","","52","","48","","47"," a","45"," a","43"," a","41"," a","40",""
"104","Maldives","677","","340","","163","","101","","87","","82"," a","76"," a","70"," a","69"," a","68",""
"184","Mali","1010","","911","","834","","714","","630","","617"," a","617"," a","610"," a","601"," a","587",""
"28","Malta","13","","14","","15","","13","","11","","11"," a","11"," a","9"," a","9"," a","9",""
"161","Mauritania","859","","824","","813","","750","","723","","704"," a","682"," a","655"," a","629"," a","602",""
"66","Mauritius","81","","60","","40","","39","","59","","51"," a","54"," a","54"," a","54"," a","53",""
"76","Mexico","90","","85","","77","","54","","45","","42"," a","42"," a","41"," a","39"," a","38",""
"135","Micronesia (Federated States of)","183","","166","","153","","134","","115","","110"," a","107"," a","104"," a","102"," a","100",""
"107","Moldova (Republic of)","51","","66","","49","","39","","34","","25"," a","26"," a","24"," a","24"," a","23",""
"92","Mongolia","186","","205","","161","","95","","63","","58"," a","53"," a","49"," a","46"," a","44",""
"52","Montenegro","10","","12","","11","","9","","8","","7"," a","8"," a","7"," a","7"," a","7",""
"121","Morocco","317","","257","","221","","190","","153","","144"," a","137"," a","131"," a","126"," a","121",""
"180","Mozambique","1390","","1150","","915","","762","","619","","596"," a","563"," a","528"," a","506"," a","489",""
"145","Myanmar","453","","376","","308","","248","","205","","201"," a","195"," a","189"," a","184"," a","178",""
"130","Namibia","338","","320","","352","","390","","319","","315"," a","299"," a","283"," a","273"," a","265",""
"147","Nepal","901","","660","","548","","444","","349","","328"," a","308"," a","291"," a","275"," a","258",""
"10","Netherlands","12","","13","","14","","11","","8","","8"," a","7"," a","7"," a","7"," a","7",""
"14","New Zealand","18","","15","","12","","14","","13","","12"," a","12"," a","12"," a","11"," a","11",""
"126","Nicaragua","173","","212","","202","","190","","166","","153"," a","164"," a","159"," a","154"," a","150",""
"189","Niger","873","","828","","794","","723","","657","","635"," a","619"," a","596"," a","574"," a","553",""
"158","Nigeria","1350","","1250","","1170","","946","","867","","824"," a","819"," a","821"," a","820"," a","814",""
"82","North Macedonia","14","","13","","12","","10","","8","","7"," a","8"," a","8"," a","8"," a","8",""
"1","Norway","7","","7","","7","","7","","6","","6"," a","5"," a","5"," a","5"," a","5",""
"47","Oman","30","","20","","20","","20","","18","","18"," a","18"," a","18"," a","18"," a","17",""
"152","Pakistan","431","","363","","306","","249","","211","","204"," a","197"," a","190"," a","184"," a","178",""
"119","Palestine, State of","118","","96","","72","","62","","54","","52"," a","50"," a","48"," a","47"," a","45",""
"67","Panama","102","","94","","82","","87","","101","","102"," a","101"," a","99"," a","97"," a","94",""
"155","Papua New Guinea","470","","377","","342","","277","","238","","231"," a","227"," a","224"," a","220"," a","215",""
"98","Paraguay","150","","147","","158","","159","","139","","145"," a","139"," a","136"," a","134"," a","132",""
"82","Peru","251","","206","","140","","114","","92","","85"," a","75"," a","72"," a","70"," a","68",""
"106","Philippines","152","","122","","124","","127","","129","","127"," a","126"," a","121"," a","117"," a","114",""
"32","Poland","17","","13","","8","","6","","4","","3"," a","3"," a","3"," a","3"," a","3",""
"40","Portugal","17","","15","","13","","12","","11","","10"," a","11"," a","10"," a","10"," a","10",""
"41","Qatar","29","","28","","24","","21","","16","","15"," a","14"," a","13"," a","13"," a","13",""
"52","Romania","124","","77","","51","","33","","30","","30"," a","30"," a","31"," a","31"," a","31",""
"49","Russian Federation","63","","82","","57","","42","","29","","27"," a","26"," a","25"," a","25"," a","25",""
"157","Rwanda","1300","","1260","","1020","","567","","381","","361"," a","336"," a","318"," a","304"," a","290",""
"89","Saint Lucia","45","","43","","54","","67","","54","","52"," a","50"," a","49"," a","49"," a","48",""
"94","Saint Vincent and the Grenadines","58","","81","","74","","50","","50","","48"," a","47"," a","46"," a","45"," a","45",""
"111","Samoa","156","","119","","93","","77","","64","","61"," a","59"," a","56"," a","53"," a","51",""
"137","Sao Tome and Principe","330","","263","","222","","181","","162","","161"," a","162"," a","161"," a","159"," a","156",""
"36","Saudi Arabia","46","","33","","23","","18","","14","","13"," a","13"," a","12"," a","12"," a","12",""
"166","Senegal","540","","509","","488","","427","","375","","365"," a","351"," a","335"," a","323"," a","315",""
"63","Serbia","14","","15","","17","","15","","16","","16"," a","16"," a","17"," a","17"," a","17",""
"181","Sierra Leone","2630","","2900","","2650","","1990","","1630","","1580"," a","1510"," a","1460"," a","1410"," a","1360",""
"9","Singapore","12","","13","","18","","16","","11","","12"," a","12"," a","11"," a","10"," a","10",""
"36","Slovakia","11","","9","","8","","7","","6","","6"," a","6"," a","6"," a","6"," a","6",""
"24","Slovenia","12","","12","","12","","11","","9","","9"," a","8"," a","9"," a","9"," a","9",""
"153","Solomon Islands","364","","273","","214","","164","","136","","131"," a","126"," a","122"," a","118"," a","114",""
"..","Somalia","1210","","1190","","1080","","939","","820","","808"," a","791"," a","775"," a","753"," a","732",""
"113","South Africa","108","","62","","85","","112","","154","","154"," a","152"," a","145"," a","140"," a","138",""
"186","South Sudan","1730","","1530","","1310","","1090","","876","","869"," a","857"," a","841"," a","823"," a","789",""
"25","Spain","6","","6","","5","","5","","5","","5"," a","5"," a","5"," a","5"," a","5",""
