"Share of seats in parliament (% held by women)"
"22","Korea (Republic of)","3.0"," b","3.0","","5.9","","13.4","","14.7","","14.7","","15.7","","15.7","","16.3","","16.3","","17.0","","17.0","","17.0",""
"57","Kuwait","0.1"," b","0.1","","0.1","","1.5","","7.7","","7.7","","6.2","","6.2","","1.5","","1.5","","2.0","","3.1","","3.1",""
"122","Kyrgyzstan","4.8"," b","4.8","","6.0","","0.1","","23.3","","23.3","","23.3","","23.3","","23.3","","19.2","","19.2","","19.2","","19.2",""
"140","Lao People's Democratic Republic","..","","..","","21.2","","22.9","","25.2","","25.0","","25.0","","25.0","","25.0","","25.0","","27.5","","27.5","","27.5",""
"39","Latvia","9.0"," b","9.0","","17.0","","21.0","","20.0","","23.0","","23.0","","23.0","","18.0","","18.0","","18.0","","16.0","","31.0",""
"93","Lebanon","2.3"," b","2.3","","2.3","","4.7","","3.1","","3.1","","3.1","","3.1","","3.1","","3.1","","3.1","","3.1","","4.7",""
"164","Lesotho","11.2"," b","11.2","","10.7","","17.0","","22.9","","23.5","","26.8","","26.8","","26.8","","24.8","","24.8","","22.7","","22.7",""
"176","Liberia","..","","..","","11.1","","13.8","","13.8","","10.7","","11.7","","11.7","","11.7","","10.7","","10.7","","9.9","","11.7",""
"110","Libya","..","","..","","..","","4.7","","7.7","","..","","16.5","","16.5","","16.0","","16.0","","16.0","","16.0","","16.0",""
"18","Liechtenstein","4.0"," b","4.0","","4.0","","24.0","","24.0","","24.0","","24.0","","20.0","","20.0","","20.0","","20.0","","12.0","","12.0",""
"34","Lithuania","17.5"," b","17.5","","10.6","","22.0","","19.1","","19.1","","24.5","","24.1","","24.1","","23.4","","21.3","","21.3","","21.3",""
"21","Luxembourg","20.0"," b","20.0","","16.7","","23.3","","20.0","","25.0","","21.7","","28.3","","28.3","","28.3","","28.3","","28.3","","20.0",""
"162","Madagascar","3.7"," b","3.7","","8.0","","8.4","","12.1","","12.1","","15.8","","15.8","","20.5","","20.5","","20.1","","19.6","","19.6",""
"172","Malawi","5.7"," b","5.7","","9.3","","13.6","","20.8","","22.3","","22.3","","22.3","","16.7","","16.7","","16.7","","16.7","","16.7",""
"61","Malaysia","10.3"," b","10.3","","14.5","","13.1","","14.0","","12.9","","13.2","","13.9","","14.2","","13.2","","12.9","","13.1","","15.8",""
"104","Maldives","6.3"," b","6.3","","6.0","","12.0","","6.5","","6.5","","6.5","","6.5","","5.9","","5.9","","5.9","","5.9","","5.9",""
"184","Mali","12.2"," b","12.2","","12.2","","10.2","","10.2","","10.2","","10.2","","..","","9.5","","8.8","","8.8","","8.8","","8.8",""
"28","Malta","5.8"," b","5.8","","9.2","","9.2","","8.7","","8.7","","8.7","","14.3","","14.3","","12.9","","12.9","","11.9","","11.9",""
"117","Marshall Islands","..","","..","","3.0","","3.0","","3.0","","3.0","","3.0","","3.0","","3.0","","9.1","","9.1","","9.1","","9.1",""
"161","Mauritania","0.7"," b","0.7","","3.0","","..","","19.2","","19.2","","19.2","","..","","22.2","","22.2","","22.2","","25.2","","20.3",""
"66","Mauritius","7.6"," b","7.6","","5.7","","17.1","","18.8","","18.8","","18.8","","18.8","","18.8","","11.6","","11.6","","11.6","","11.6",""
"76","Mexico","13.9"," b","13.9","","15.9","","23.7","","24.8","","25.5","","36.0","","36.0","","36.8","","40.6","","40.6","","41.4","","48.4",""
"135","Micronesia (Federated States of)","0.1"," b","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1","","0.1"," e"
"107","Moldova (Republic of)","4.8"," b","4.8","","7.9","","21.8","","18.8","","19.8","","19.8","","19.8","","17.8","","21.8","","21.8","","22.8","","22.8",""
"..","Monaco","5.6"," b","5.6","","22.2","","20.8","","26.1","","19.0","","19.0","","20.8","","20.8","","20.8","","20.8","","20.8","","33.3",""
"92","Mongolia","7.9"," b","7.9","","10.5","","6.7","","3.9","","3.9","","14.9","","14.9","","14.9","","14.5","","17.1","","17.1","","17.1",""
"52","Montenegro","..","","..","","..","","..","","11.1","","12.3","","17.3","","16.0","","17.3","","17.3","","23.5","","23.5","","23.5",""
"121","Morocco","0.7"," b","0.7","","0.7","","6.4","","6.7","","11.0","","11.0","","11.0","","11.0","","15.7","","18.4","","18.4","","18.4",""
"180","Mozambique","25.2"," b","25.2","","30.0","","34.8","","39.2","","39.2","","39.2","","39.2","","..","","39.6","","39.6","","39.6","","39.6",""
