"","year","gdi","countrycode","scenario"
"323",2000,1.032,"RUS","Observed"
"324",2000,0.883,"RWA","Observed"
"325",2000,0.966,"LCA","Observed"
"326",2000,0.853,"STP","Observed"
"327",2000,0.833,"SAU","Observed"
"328",2000,0.806,"SEN","Observed"
"329",2000,0.948,"SRB","Observed"
"330",2000,0.782,"SLE","Observed"
"331",2000,0.936,"SGP","Observed"
"332",2000,1.001,"SVK","Observed"
"333",2000,0.993,"SVN","Observed"
"334",2000,0.971,"ZAF","Observed"
"336",2000,0.968,"ESP","Observed"
"337",2000,0.928,"LKA","Observed"
"340",2000,0.987,"SWE","Observed"
"341",2000,0.947,"CHE","Observed"
"342",2000,0.813,"SYR","Observed"
"343",2000,0.885,"TJK","Observed"
"344",2000,0.889,"TZA","Observed"
"345",2000,0.979,"THA","Observed"
"348",2000,0.781,"TGO","Observed"
"349",2000,0.927,"TON","Observed"
"350",2000,0.967,"TTO","Observed"
"351",2000,0.845,"TUN","Observed"
"352",2000,0.847,"TUR","Observed"
"353",2000,0.867,"UGA","Observed"
"354",2000,0.987,"UKR","Observed"
"356",2000,0.978,"GBR","Observed"
"357",2000,0.986,"USA","Observed"
"358",2000,1,"URY","Observed"
"360",2000,0.986,"VEN","Observed"
"361",2000,0.956,"VNM","Observed"
"362",2000,0.635,"YEM","Observed"
"364",2000,0.886,"ZWE","Observed"
"393",2005,0.488,"AFG","Observed"
"394",2005,0.94,"ALB","Observed"
"395",2005,0.807,"DZA","Observed"
"396",2005,0.996,"ARG","Observed"
"397",2005,0.963,"ARM","Observed"
"398",2005,0.964,"AUS","Observed"
"399",2005,0.936,"AUT","Observed"
"400",2005,0.929,"AZE","Observed"
"402",2005,0.952,"BHR","Observed"
"403",2005,0.791,"BGD","Observed"
"404",2005,1,"BRB","Observed"
"405",2005,1.024,"BLR","Observed"
"406",2005,0.967,"BEL","Observed"
"407",2005,0.94,"BLZ","Observed"
"408",2005,0.789,"BEN","Observed"
"410",2005,0.916,"BOL","Observed"
"411",2005,0.922,"BIH","Observed"
"412",2005,0.945,"BWA","Observed"
"413",2005,1.004,"BRA","Observed"
"414",2005,0.972,"BRN","Observed"
"415",2005,0.975,"BGR","Observed"
"416",2005,0.787,"BFA","Observed"
"417",2005,0.849,"BDI","Observed"
"419",2005,0.874,"KHM","Observed"
"420",2005,0.833,"CMR","Observed"
"421",2005,0.98,"CAN","Observed"
"422",2005,0.739,"CAF","Observed"
"423",2005,0.723,"TCD","Observed"
"424",2005,0.938,"CHL","Observed"
"425",2005,0.925,"CHN","Observed"
"426",2005,0.971,"COL","Observed"
"428",2005,0.885,"COG","Observed"
"429",2005,0.786,"COD","Observed"
"430",2005,0.964,"CRI","Observed"
"431",2005,0.976,"HRV","Observed"
"432",2005,0.94,"CUB","Observed"
"433",2005,0.955,"CYP","Observed"
"434",2005,0.973,"CZE","Observed"
"435",2005,0.76,"CIV","Observed"
"436",2005,0.988,"DNK","Observed"
"439",2005,0.825,"EGY","Observed"
"440",2005,0.951,"SLV","Observed"
"441",2005,1.039,"EST","Observed"
"442",2005,0.869,"SWZ","Observed"
"443",2005,0.765,"ETH","Observed"
"444",2005,0.955,"FJI","Observed"
"445",2005,1.001,"FIN","Observed"
"446",2005,0.985,"FRA","Observed"
"447",2005,0.917,"GAB","Observed"
"448",2005,0.841,"GMB","Observed"
